,id,usingtime
0,1,"{'netflix': 618, 'tving': 147, 'coupang': 347, 'milessbook': 9, 'youtube': 722, 'watcha': 5, 'melon': 537}"
1,2,"{'netflix': 469, 'youtube': 774}"
2,3,"{'kukka': 466, 'netflix': 878, 'coupang': 641, 'publy': 976, 'milessbook': 191, 'youtube': 269, 'melon': 328, 'bacon': 764}"
3,4,"{'tving': 949, 'dailyshot': 283, 'laftel': 865, 'coupang': 639, 'milessbook': 524, 'watcha': 55, 'melon': 21, 'naver': 18}"
4,5,"{'naver': 627, 'tving': 166, 'trive': 10}"
5,6,"{'tlxpass': 593, 'wisely': 136, 'laftel': 566, 'bacon': 249}"
6,7,"{'naver': 563, 'kukka': 827, 'publy': 976}"
7,8,"{'tlxpass': 790, 'socar': 261}"
8,9,"{'kukka': 571, 'netflix': 225, 'dailyshot': 279, 'bacon': 471, 'moonday': 64, 'youtube': 355, 'watcha': 347, 'tlxpass': 27, 'wisely': 225, 'closetshare': 64, 'naver': 557}"
9,10,"{'netflix': 440, 'bacon': 758}"
10,11,"{'kukka': 871, 'netflix': 878, 'tving': 142, 'dailyshot': 246, 'publy': 257, 'moonday': 166, 'youtube': 7, 'wisely': 742}"
11,12,"{'socar': 266, 'netflix': 860, 'dailyshot': 548, 'publy': 696, 'laftel': 93, 'milessbook': 96, 'youtube': 416, 'melon': 768, 'naver': 21, 'tlxpass': 529, 'wisely': 105, 'bacon': 348}"
12,13,"{'naver': 984, 'moonday': 652, 'trive': 759}"
13,14,"{'socar': 111, 'netflix': 903, 'laftel': 261, 'watcha': 477, 'melon': 942}"
14,15,"{'socar': 186, 'kukka': 488, 'netflix': 491, 'coupang': 539, 'laftel': 471, 'moonday': 827, 'watcha': 384}"
15,16,"{'netflix': 967, 'trive': 98, 'dailyshot': 272, 'laftel': 787, 'milessbook': 857, 'moonday': 952, 'youtube': 128}"
16,17,"{'kukka': 809, 'tving': 457, 'netflix': 922, 'publy': 330, 'laftel': 483, 'moonday': 727, 'youtube': 493, 'naver': 11, 'wisely': 683, 'bacon': 34}"
17,18,"{'tlxpass': 766, 'laftel': 862, 'youtube': 148, 'bacon': 182}"
18,19,"{'socar': 640, 'trive': 564, 'dailyshot': 358, 'laftel': 662, 'publy': 968, 'coupang': 358, 'watcha': 363, 'melon': 719, 'wisely': 134, 'closetshare': 216}"
19,20,"{'tving': 22, 'watcha': 477, 'dailyshot': 829}"
20,21,"{'socar': 174, 'netflix': 574, 'tving': 575, 'trive': 331, 'milessbook': 241, 'youtube': 947, 'wisely': 976, 'closetshare': 493, 'naver': 820}"
21,22,"{'tlxpass': 500, 'coupang': 625, 'bacon': 495}"
22,23,"{'socar': 401, 'netflix': 842, 'dailyshot': 91, 'bacon': 628, 'publy': 450, 'watcha': 217, 'melon': 175, 'wisely': 109, 'tlxpass': 284, 'closetshare': 807, 'naver': 944}"
23,24,"{'socar': 45, 'trive': 813, 'netflix': 105, 'coupang': 261, 'melon': 428}"
24,25,"{'naver': 353, 'wisely': 478, 'laftel': 125, 'dailyshot': 988}"
25,26,"{'closetshare': 733, 'laftel': 198}"
26,27,"{'trive': 278, 'netflix': 19, 'dailyshot': 160, 'coupang': 112, 'laftel': 585, 'publy': 795, 'milessbook': 663, 'moonday': 675, 'youtube': 939, 'melon': 83, 'naver': 482, 'tlxpass': 537}"
